"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.date","Input.userid","Input.location","Input.bio","Input.asker","Input.posttext","Answer.ContainCyberbullying","Answer.CyberbullyingWords","Answer.OtherInfo","Answer.Severity","Approve","Reject"
"255NVRH1KHO9SKE2OREVDLKWXLIQZS","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:57 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:57 GMT 2011","25","","23VDHJHP4BDDYKRPPCJXDX3GVW5X4R","A1N274L13ZKKI5","Approved","Thu Sep 29 17:16:31 GMT 2011","Thu Sep 29 17:16:39 GMT 2011","Thu Oct 06 17:16:39 GMT 2011","Fri Sep 30 05:39:25 PDT 2011","","","8","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: wait what ????<br>A: ur boo","No","n/a","","0"
"255NVRH1KHO9SKE2OREVDLKWXLIQZS","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:57 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:57 GMT 2011","25","","2SPKO2L92HECAETOKJFCGF0CHWIGF6","A1VHFF2VC2XG7P","Approved","Thu Sep 29 17:15:22 GMT 2011","Thu Sep 29 17:15:32 GMT 2011","Thu Oct 06 17:15:32 GMT 2011","Fri Sep 30 05:39:25 PDT 2011","","","10","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: wait what ????<br>A: ur boo","No","N/A","No cyber-bullying present in the text.","0"
"255NVRH1KHO9SKE2OREVDLKWXLIQZS","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:57 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:57 GMT 2011","25","","2ZKI2KYEPLSPL97C3RNJ7OAHI5OOU0","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:16:16 GMT 2011","Thu Sep 29 17:16:24 GMT 2011","Thu Oct 06 10:16:24 PDT 2011","Fri Sep 30 05:39:26 PDT 2011","","","8","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: wait what ????<br>A: ur boo","No","n/a","","0"
"2YVM25L8I9NZAA45GRFE8QW7JW1ISC","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","47","","209M8JIA0RYNXDPE05D09BMJLLE053","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:03:11 GMT 2011","Thu Sep 29 17:03:34 GMT 2011","Thu Oct 06 17:03:34 GMT 2011","Fri Sep 30 05:39:26 PDT 2011","","","23","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: duhhhh :)<br>A: haha","No","","","0"
"2YVM25L8I9NZAA45GRFE8QW7JW1ISC","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","47","","2J0JHSTLB3L0TF60Z92JIJREN51THO","A3FXJ21TQ0LRNJ","Approved","Thu Sep 29 17:05:21 GMT 2011","Thu Sep 29 17:06:00 GMT 2011","Thu Oct 06 17:06:00 GMT 2011","Fri Sep 30 05:39:26 PDT 2011","","","39","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: duhhhh :)<br>A: haha","No","n/a","","3"
"2YVM25L8I9NZAA45GRFE8QW7JW1ISC","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","47","","2U91Q6SVQ8H8MQDLN6WOFVCITIUN4W","A1N274L13ZKKI5","Approved","Thu Sep 29 17:09:13 GMT 2011","Thu Sep 29 17:09:21 GMT 2011","Thu Oct 06 10:09:21 PDT 2011","Fri Sep 30 05:39:26 PDT 2011","","","8","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","PrettyAssDanii","Q: duhhhh :)<br>A: haha","No","n/a","","0"
"2QFBNVP3TVOKJY2AMMP7UEOZ5ML037","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","22IV66RLPHITHLINRGBIA2NJITZF72","A1N274L13ZKKI5","Approved","Thu Sep 29 17:19:35 GMT 2011","Thu Sep 29 17:19:46 GMT 2011","Thu Oct 06 10:19:46 PDT 2011","Fri Sep 30 05:39:26 PDT 2011","","","11","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Well my 8th grade year yur 7th grade year<br>A: ummmmm danielle dixion???","No","n/a","","0"
"2QFBNVP3TVOKJY2AMMP7UEOZ5ML037","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","2CXL8I9NZW6HS3TFVPHWBT8617RLV4","A1WGSW0SLN4Y91","Approved","Thu Sep 29 17:02:52 GMT 2011","Thu Sep 29 17:03:18 GMT 2011","Thu Oct 06 17:03:18 GMT 2011","Fri Sep 30 05:39:26 PDT 2011","","","26","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Well my 8th grade year yur 7th grade year<br>A: ummmmm danielle dixion???","No","n/a","","0"
"2QFBNVP3TVOKJY2AMMP7UEOZ5ML037","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","14","","2O4WA6X3YOCCT4ZGM5OPXINIAOWOP4","A4Y02KNTLXT9C","Approved","Thu Sep 29 17:15:28 GMT 2011","Thu Sep 29 17:15:43 GMT 2011","Thu Oct 06 17:15:43 GMT 2011","Fri Sep 30 05:39:27 PDT 2011","","","15","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: Well my 8th grade year yur 7th grade year<br>A: ummmmm danielle dixion???","No","n/a","","0"
"2NF3YOCCF0CPJOKGA3EIMXYGUDHTS4","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","47","","2AGHOVR14IXK2680J25C0A6XVPM87E","AZVROORHH0X75","Approved","Thu Sep 29 17:12:48 GMT 2011","Thu Sep 29 17:12:59 GMT 2011","Thu Oct 06 10:12:59 PDT 2011","Fri Sep 30 05:39:27 PDT 2011","","","11","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: ayy yoo jordan yuh da bomb<br>A: ummmmmmmm","No","n/a","","0"
"2NF3YOCCF0CPJOKGA3EIMXYGUDHTS4","2GZKW4ZMAZHH5V867LFNRVRH1VM9IX","Cyberbully Labelling","Determine if a post contains cyberbullying","label, cyberbully, bullying","$0.05","Thu Sep 29 17:00:58 GMT 2011","3","","3600","604800","Thu Oct 06 17:00:58 GMT 2011","47","","2DGU3K4F0OHO9VOVZIBO6L9295910M","A3FXJ21TQ0LRNJ","Approved","Thu Sep 29 17:06:01 GMT 2011","Thu Sep 29 17:06:26 GMT 2011","Thu Oct 06 17:06:26 GMT 2011","Fri Sep 30 05:39:27 PDT 2011","","","25","0% (0/0)","0% (0/0)","0% (0/0)","20100814","jayslaffey","","","","Q: ayy yoo jordan yuh da bomb<br>A: ummmmmmmm","Yes","ummmmmmmm","","5"
